127.0.0.1 - - [02/Apr/2022:10:55:38 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [02/Apr/2022:11:09:04 +0900] "GET /Assign2019305059/Assign3_project2/cookie_form(2019305059).jsp HTTP/1.1" 200 547
0:0:0:0:0:0:0:1 - - [02/Apr/2022:11:09:05 +0900] "GET /Assign2019305059/Assign3_project2/cookie_delete(2019305059).jsp HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [02/Apr/2022:11:09:08 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [02/Apr/2022:11:09:47 +0900] "GET /Assign2019305059/Assign3_project2/cookie_form(2019305059).jsp HTTP/1.1" 200 547
0:0:0:0:0:0:0:1 - - [02/Apr/2022:11:09:49 +0900] "GET /Assign2019305059/Assign3_project2/cookie_delete(2019305059).jsp HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [02/Apr/2022:11:09:51 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [02/Apr/2022:11:11:25 +0900] "GET /Assign2019305059/Assign3_project2/cookie_form(2019305059).jsp HTTP/1.1" 200 547
0:0:0:0:0:0:0:1 - - [02/Apr/2022:11:11:26 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 200 231
0:0:0:0:0:0:0:1 - - [02/Apr/2022:11:12:02 +0900] "GET /Assign2019305059/Assign3_project2/cookie_form(2019305059).jsp HTTP/1.1" 200 547
0:0:0:0:0:0:0:1 - - [02/Apr/2022:11:12:03 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [02/Apr/2022:11:12:39 +0900] "GET /Assign2019305059/Assign3_project2/cookie_form(2019305059).jsp HTTP/1.1" 200 547
0:0:0:0:0:0:0:1 - - [02/Apr/2022:11:12:40 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [02/Apr/2022:11:12:57 +0900] "GET /Assign2019305059/Assign3_project2/cookie_form(2019305059).jsp HTTP/1.1" 200 547
0:0:0:0:0:0:0:1 - - [02/Apr/2022:11:12:58 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [02/Apr/2022:11:13:39 +0900] "GET /Assign2019305059/Assign3_project2/cookie_form(2019305059).jsp HTTP/1.1" 200 547
0:0:0:0:0:0:0:1 - - [02/Apr/2022:11:13:40 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [02/Apr/2022:11:13:44 +0900] "GET /Assign2019305059/Assign3_project2/cookie_delete(2019305059).jsp HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [02/Apr/2022:11:13:45 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [02/Apr/2022:11:16:15 +0900] "GET /Assign2019305059/Assign3_project2/cookie_form(2019305059).jsp HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [02/Apr/2022:11:16:16 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [02/Apr/2022:11:16:19 +0900] "GET /Assign2019305059/Assign3_project2/cookie_delete(2019305059).jsp HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [02/Apr/2022:11:19:06 +0900] "GET /Assign2019305059/Assign3_project2/cookie_form(2019305059).jsp HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [02/Apr/2022:11:19:07 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 200 302
0:0:0:0:0:0:0:1 - - [02/Apr/2022:11:19:49 +0900] "GET /Assign2019305059/Assign3_project2/cookie_delete(2019305059).jsp HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [02/Apr/2022:11:19:50 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [02/Apr/2022:11:19:54 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [02/Apr/2022:11:19:56 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 200 226
