127.0.0.1 - - [30/Mar/2022:14:41:32 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [30/Mar/2022:15:22:10 +0900] "GET /Assign2019305059/Assign3_project1/membership_input_form(2019305059).jsp HTTP/1.1" 200 1375
0:0:0:0:0:0:0:1 - - [30/Mar/2022:15:22:23 +0900] "GET /Assign2019305059/Assign3_project1/membership_input_form(2019305059).jsp HTTP/1.1" 200 1375
0:0:0:0:0:0:0:1 - - [30/Mar/2022:15:22:34 +0900] "GET /Assign2019305059/Assign3_project1/membership_input_form(2019305059).jsp HTTP/1.1" 200 1375
0:0:0:0:0:0:0:1 - - [30/Mar/2022:15:23:08 +0900] "GET /Assign2019305059/Assign3_project1/membership_input_form(2019305059).jsp HTTP/1.1" 200 1375
0:0:0:0:0:0:0:1 - - [30/Mar/2022:15:23:22 +0900] "GET /Assign2019305059/Assign3_project1/membership_input_form(2019305059).jsp HTTP/1.1" 200 1375
0:0:0:0:0:0:0:1 - - [30/Mar/2022:15:23:48 +0900] "GET /Assign2019305059/Assign3_project1/membership_input_form(2019305059).jsp HTTP/1.1" 200 1381
0:0:0:0:0:0:0:1 - - [30/Mar/2022:15:24:36 +0900] "GET /Assign2019305059/Assign3_project1/membership_input_form(2019305059).jsp HTTP/1.1" 200 1413
0:0:0:0:0:0:0:1 - - [30/Mar/2022:15:30:28 +0900] "GET /Assign2019305059/Assign3_project1/membership_input_form(2019305059).jsp HTTP/1.1" 200 1506
0:0:0:0:0:0:0:1 - - [30/Mar/2022:15:30:32 +0900] "POST /Assign2019305059/Assign3_project1/request1_result(2019305059).jsp HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [30/Mar/2022:15:31:04 +0900] "POST /Assign2019305059/Assign3_project1/request1_result(2019305059).jsp HTTP/1.1" 200 412
0:0:0:0:0:0:0:1 - - [30/Mar/2022:15:31:33 +0900] "GET /Assign2019305059/Assign3_project1/membership_input_form(2019305059).jsp HTTP/1.1" 200 1506
0:0:0:0:0:0:0:1 - - [30/Mar/2022:15:31:54 +0900] "POST /Assign2019305059/Assign3_project1/request1_result(2019305059).jsp HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [30/Mar/2022:15:32:43 +0900] "GET /Assign2019305059/Assign3_project1/membership_input_form(2019305059).jsp HTTP/1.1" 200 1512
0:0:0:0:0:0:0:1 - - [30/Mar/2022:15:33:05 +0900] "POST /Assign2019305059/Assign3_project1/request1_result(2019305059).jsp HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [30/Mar/2022:15:33:55 +0900] "GET /jspbook/ch06/request_form.html HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [30/Mar/2022:15:34:01 +0900] "POST /jspbook/ch06/request_result.jsp HTTP/1.1" 200 739
0:0:0:0:0:0:0:1 - - [30/Mar/2022:15:35:27 +0900] "GET /Assign2019305059/Assign3_project1/membership_input_form(2019305059).jsp HTTP/1.1" 200 1512
0:0:0:0:0:0:0:1 - - [30/Mar/2022:15:35:53 +0900] "POST /Assign2019305059/Assign3_project1/request1_result(2019305059).jsp HTTP/1.1" 200 502
0:0:0:0:0:0:0:1 - - [30/Mar/2022:15:36:47 +0900] "GET /Assign2019305059/Assign3_project1/membership_input_form(2019305059).jsp HTTP/1.1" 200 1513
0:0:0:0:0:0:0:1 - - [30/Mar/2022:15:36:50 +0900] "POST /Assign2019305059/Assign3_project1/request1_result(2019305059).jsp HTTP/1.1" 500 2898
0:0:0:0:0:0:0:1 - - [30/Mar/2022:15:36:57 +0900] "POST /Assign2019305059/Assign3_project1/request1_result(2019305059).jsp HTTP/1.1" 200 388
0:0:0:0:0:0:0:1 - - [30/Mar/2022:15:37:07 +0900] "POST /Assign2019305059/Assign3_project1/request1_result(2019305059).jsp HTTP/1.1" 500 2898
0:0:0:0:0:0:0:1 - - [30/Mar/2022:15:38:08 +0900] "GET /Assign2019305059/Assign3_project1/membership_input_form(2019305059).jsp HTTP/1.1" 200 1513
0:0:0:0:0:0:0:1 - - [30/Mar/2022:15:38:10 +0900] "POST /Assign2019305059/Assign3_project1/request1_result(2019305059).jsp HTTP/1.1" 500 2885
0:0:0:0:0:0:0:1 - - [30/Mar/2022:15:38:32 +0900] "POST /Assign2019305059/Assign3_project1/request1_result(2019305059).jsp HTTP/1.1" 200 388
0:0:0:0:0:0:0:1 - - [30/Mar/2022:15:39:18 +0900] "GET /Assign2019305059/Assign3_project1/membership_input_form(2019305059).jsp HTTP/1.1" 200 1513
0:0:0:0:0:0:0:1 - - [30/Mar/2022:15:39:20 +0900] "POST /Assign2019305059/Assign3_project1/request1_result(2019305059).jsp HTTP/1.1" 500 2885
0:0:0:0:0:0:0:1 - - [30/Mar/2022:15:40:23 +0900] "GET /Assign2019305059/Assign3_project1/membership_input_form(2019305059).jsp HTTP/1.1" 200 1513
0:0:0:0:0:0:0:1 - - [30/Mar/2022:15:40:28 +0900] "POST /Assign2019305059/Assign3_project1/request1_result(2019305059).jsp HTTP/1.1" 200 387
0:0:0:0:0:0:0:1 - - [30/Mar/2022:15:56:24 +0900] "GET /Assign2019305059/Assign3_project1/membership_input_form(2019305059).jsp HTTP/1.1" 200 2301
0:0:0:0:0:0:0:1 - - [30/Mar/2022:15:56:48 +0900] "POST /Assign2019305059/Assign3_project1/request1_result(2019305059).jsp HTTP/1.1" 200 1020
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:02:13 +0900] "GET /Assign2019305059/Assign3_project2/cookie_form(2019305059).jsp HTTP/1.1" 200 592
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:02:14 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 200 225
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:02:41 +0900] "GET /Assign2019305059/Assign3_project2/cookie_form(2019305059).jsp HTTP/1.1" 200 592
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:03:04 +0900] "GET /Assign2019305059/Assign3_project2/cookie_form(2019305059).jsp HTTP/1.1" 200 598
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:03:07 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 200 242
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:03:15 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 200 242
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:03:27 +0900] "GET /Assign2019305059/Assign3_project2/cookie_delete(2019305059).jsp HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:03:28 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 500 2755
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:06:03 +0900] "GET /Assign2019305059/Assign3_project2/cookie_form(2019305059).jsp HTTP/1.1" 200 598
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:06:06 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:08:35 +0900] "GET /Assign2019305059/Assign3_project2/cookie_form(2019305059).jsp HTTP/1.1" 200 598
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:08:36 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 200 234
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:09:12 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 200 238
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:09:21 +0900] "GET /Assign2019305059/Assign3_project2/cookie_form(2019305059).jsp HTTP/1.1" 200 598
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:09:22 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 200 238
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:09:37 +0900] "GET /Assign2019305059/Assign3_project2/cookie_delete(2019305059).jsp HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:09:38 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 500 2821
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:11:51 +0900] "GET /Assign2019305059/Assign3_project2/cookie_form(2019305059).jsp HTTP/1.1" 200 598
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:11:52 +0900] "GET /Assign2019305059/Assign3_project2/cookie_delete(2019305059).jsp HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:11:53 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 500 2821
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:12:25 +0900] "GET /Assign2019305059/Assign3_project2/cookie_form(2019305059).jsp HTTP/1.1" 200 598
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:12:26 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 200 238
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:12:29 +0900] "GET /Assign2019305059/Assign3_project2/cookie_delete(2019305059).jsp HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:12:30 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 200 238
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:14:42 +0900] "GET /Assign2019305059/Assign3_project2/cookie_form(2019305059).jsp HTTP/1.1" 200 768
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:14:43 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 200 238
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:14:47 +0900] "GET /Assign2019305059/Assign3_project2/cookie_delete(2019305059).jsp HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:14:47 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 500 2821
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:16:43 +0900] "GET /Assign2019305059/Assign3_project2/cookie_form(2019305059).jsp HTTP/1.1" 200 768
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:16:45 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:17:27 +0900] "GET /Assign2019305059/Assign3_project2/cookie_delete(2019305059).jsp HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:17:30 +0900] "GET /Assign2019305059/Assign3_project2/cookie_delete(2019305059).jsp HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:17:30 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:17:34 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:21:44 +0900] "GET /Assign2019305059/Assign3_project2/cookie_form(2019305059).jsp HTTP/1.1" 200 756
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:21:45 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:21:48 +0900] "GET /Assign2019305059/Assign3_project2/cookie_delete(2019305059).jsp HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:21:49 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:22:47 +0900] "GET /Assign2019305059/Assign3_project2/cookie_form(2019305059).jsp HTTP/1.1" 200 756
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:22:48 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 500 2871
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:23:21 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 500 2825
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:23:46 +0900] "GET /Assign2019305059/Assign3_project2/cookie_form(2019305059).jsp HTTP/1.1" 200 756
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:23:47 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 500 2825
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:24:07 +0900] "GET /Assign2019305059/Assign3_project2/cookie_form(2019305059).jsp HTTP/1.1" 200 586
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:24:08 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:24:10 +0900] "GET /Assign2019305059/Assign3_project2/cookie_delete(2019305059).jsp HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:24:11 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 500 2825
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:25:05 +0900] "GET /Assign2019305059/Assign3_project2/cookie_form(2019305059).jsp HTTP/1.1" 200 586
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:25:06 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 200 329
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:25:10 +0900] "GET /Assign2019305059/Assign3_project2/cookie_delete(2019305059).jsp HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:25:11 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:25:43 +0900] "GET /Assign2019305059/Assign3_project2/cookie_form(2019305059).jsp HTTP/1.1" 200 586
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:25:44 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 200 329
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:25:46 +0900] "GET /Assign2019305059/Assign3_project2/cookie_delete(2019305059).jsp HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:25:47 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:30:03 +0900] "GET /Assign2019305059/Assign3_project2/cookie_form(2019305059).jsp HTTP/1.1" 200 586
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:30:04 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 200 329
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:33:40 +0900] "GET /Assign2019305059/Assign3_project2/cookie_form(2019305059).jsp HTTP/1.1" 200 586
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:33:41 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:33:45 +0900] "GET /Assign2019305059/Assign3_project2/cookie_delete(2019305059).jsp HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:33:45 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:33:49 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:33:51 +0900] "GET /Assign2019305059/Assign3_project2/cookie_delete(2019305059).jsp HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [30/Mar/2022:16:33:52 +0900] "GET /Assign2019305059/Assign3_project2/cookie_result(2019305059).jsp HTTP/1.1" 200 174
